Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.31  "
MaxChannel,20
GSStartCH,20
WLStartCH,20
MaxLogicChannel,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,6079      
Trigger,0         
Start time,2026-02-27,13:07:35
End time,2026-02-27,13:17:43
Trigger time,2026-02-27,13:07:35
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"Z1","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],0,13,23,0
CH2,"Z2","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,5,6,0
CH3,"Z3","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],9,22,8,0
CH4,"IC6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],21,0,21,0
CH5,"L6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,16,2,0
CH6,"T19","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],5,23,30,0
CH10,"CH10","M",DC,5V,,Off,+2.500,-2.500,[V],19,27,0,0
CH11,"CH11","M",DC,1-5V,,Off,+5.000,+1.000,[V],28,5,6,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH10,CH11,Alarm1-10,Alarm11-20,AlarmOut
        24,2026/02/27 13:07:37,300,+ 23.80,+ 23.85,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        25,2026/02/27 13:07:37,400,+ 23.80,+ 23.85,+ 24.00,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        26,2026/02/27 13:07:37,500,+ 23.75,+ 23.85,+ 24.00,+ 24.15,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        27,2026/02/27 13:07:37,600,+ 23.75,+ 23.85,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        28,2026/02/27 13:07:37,700,+ 23.75,+ 23.80,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        29,2026/02/27 13:07:37,800,+ 23.75,+ 23.80,+ 24.00,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        30,2026/02/27 13:07:37,900,+ 23.75,+ 23.80,+ 24.00,+ 24.10,+ 24.10,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        31,2026/02/27 13:07:38,  0,+ 23.75,+ 23.85,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        32,2026/02/27 13:07:38,100,+ 23.75,+ 23.85,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        33,2026/02/27 13:07:38,200,+ 23.75,+ 23.80,+ 24.00,+ 24.10,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        34,2026/02/27 13:07:38,300,+ 23.75,+ 23.85,+ 23.95,+ 24.15,+ 24.10,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        35,2026/02/27 13:07:38,400,+ 23.75,+ 23.85,+ 24.00,+ 24.05,+ 24.05,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        36,2026/02/27 13:07:38,500,+ 23.75,+ 23.85,+ 23.95,+ 24.10,+ 24.10,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        37,2026/02/27 13:07:38,600,+ 23.75,+ 23.85,+ 23.95,+ 24.10,+ 24.10,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        38,2026/02/27 13:07:38,700,+ 23.80,+ 23.80,+ 23.95,+ 24.15,+ 24.10,+ 24.10,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        39,2026/02/27 13:07:38,800,+ 23.75,+ 23.85,+ 24.00,+ 24.10,+ 24.10,+ 24.10,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        40,2026/02/27 13:07:38,900,+ 23.75,+ 23.85,+ 23.95,+ 24.15,+ 24.05,+ 24.05,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        41,2026/02/27 13:07:39,  0,+ 23.80,+ 23.80,+ 23.95,+ 24.15,+ 24.05,+ 24.05,+ 2.341,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        42,2026/02/27 13:07:39,100,+ 23.80,+ 23.85,+ 24.00,+ 24.15,+ 24.15,+ 24.15,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        43,2026/02/27 13:07:39,200,+ 23.80,+ 23.80,+ 23.95,+ 24.15,+ 24.15,+ 24.15,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        44,2026/02/27 13:07:39,300,+ 23.80,+ 23.90,+ 24.00,+ 24.15,+ 24.15,+ 24.10,+ 2.340,+ 0.499,LLLLLLLLLL,LLLLLLLLLL,LLLL
        45,2026/02/27 13:07:39,400,+ 23.80,+ 23.90,+ 24.00,+ 24.15,+ 24.15,+ 24.10,+ 2.420,+ 1.221,LLLLLLLLLL,LLLLLLLLLL,LLLL
        46,2026/02/27 13:07:39,500,+ 23.80,+ 23.85,+ 23.95,+ 24.10,+ 24.05,+ 24.10,+ 2.415,+ 1.195,LLLLLLLLLL,LLLLLLLLLL,LLLL
        47,2026/02/27 13:07:39,600,+ 23.85,+ 23.85,+ 23.95,+ 24.15,+ 24.10,+ 24.10,+ 2.414,+ 1.182,LLLLLLLLLL,LLLLLLLLLL,LLLL
        48,2026/02/27 13:07:39,700,+ 24.00,+ 23.85,+ 24.00,+ 24.15,+ 24.10,+ 24.10,+ 2.413,+ 1.171,LLLLLLLLLL,LLLLLLLLLL,LLLL
        49,2026/02/27 13:07:39,800,+ 24.15,+ 23.85,+ 24.00,+ 24.10,+ 24.15,+ 24.10,+ 2.412,+ 1.164,LLLLLLLLLL,LLLLLLLLLL,LLLL
        50,2026/02/27 13:07:39,900,+ 24.40,+ 23.85,+ 24.00,+ 24.20,+ 24.15,+ 24.15,+ 2.410,+ 1.155,LLLLLLLLLL,LLLLLLLLLL,LLLL
        51,2026/02/27 13:07:40,  0,+ 24.60,+ 23.80,+ 24.00,+ 24.20,+ 24.10,+ 24.10,+ 2.409,+ 1.150,LLLLLLLLLL,LLLLLLLLLL,LLLL
        52,2026/02/27 13:07:40,100,+ 24.85,+ 23.85,+ 24.05,+ 24.15,+ 24.15,+ 24.05,+ 2.408,+ 1.145,LLLLLLLLLL,LLLLLLLLLL,LLLL
        53,2026/02/27 13:07:40,200,+ 25.10,+ 23.80,+ 23.95,+ 24.10,+ 24.10,+ 24.00,+ 2.407,+ 1.142,LLLLLLLLLL,LLLLLLLLLL,LLLL
        54,2026/02/27 13:07:40,300,+ 25.40,+ 23.80,+ 23.95,+ 24.05,+ 24.05,+ 24.05,+ 2.406,+ 1.139,LLLLLLLLLL,LLLLLLLLLL,LLLL
        55,2026/02/27 13:07:40,400,+ 25.80,+ 23.80,+ 23.95,+ 24.05,+ 24.10,+ 24.05,+ 2.405,+ 1.137,LLLLLLLLLL,LLLLLLLLLL,LLLL
        56,2026/02/27 13:07:40,500,+ 26.15,+ 23.80,+ 23.95,+ 24.10,+ 24.10,+ 24.05,+ 2.403,+ 1.135,LLLLLLLLLL,LLLLLLLLLL,LLLL
        57,2026/02/27 13:07:40,600,+ 26.40,+ 23.80,+ 23.95,+ 24.10,+ 24.05,+ 24.00,+ 2.402,+ 1.134,LLLLLLLLLL,LLLLLLLLLL,LLLL
        58,2026/02/27 13:07:40,700,+ 26.75,+ 23.80,+ 23.90,+ 24.10,+ 24.00,+ 24.05,+ 2.402,+ 1.133,LLLLLLLLLL,LLLLLLLLLL,LLLL
        59,2026/02/27 13:07:40,800,+ 27.10,+ 23.80,+ 23.95,+ 24.05,+ 24.00,+ 24.05,+ 2.399,+ 1.131,LLLLLLLLLL,LLLLLLLLLL,LLLL
        60,2026/02/27 13:07:40,900,+ 27.40,+ 23.80,+ 23.85,+ 24.10,+ 24.00,+ 24.00,+ 2.398,+ 1.130,LLLLLLLLLL,LLLLLLLLLL,LLLL
        61,2026/02/27 13:07:41,  0,+ 27.70,+ 23.80,+ 23.85,+ 24.10,+ 24.05,+ 24.05,+ 2.397,+ 1.129,LLLLLLLLLL,LLLLLLLLLL,LLLL
        62,2026/02/27 13:07:41,100,+ 28.00,+ 23.80,+ 23.95,+ 24.10,+ 24.05,+ 24.05,+ 2.395,+ 1.128,LLLLLLLLLL,LLLLLLLLLL,LLLL
        63,2026/02/27 13:07:41,200,+ 28.30,+ 23.80,+ 23.95,+ 24.15,+ 24.05,+ 24.05,+ 2.393,+ 1.127,LLLLLLLLLL,LLLLLLLLLL,LLLL
        64,2026/02/27 13:07:41,300,+ 28.60,+ 23.80,+ 23.95,+ 24.10,+ 24.05,+ 24.05,+ 2.392,+ 1.127,LLLLLLLLLL,LLLLLLLLLL,LLLL
        65,2026/02/27 13:07:41,400,+ 28.90,+ 23.80,+ 23.95,+ 24.15,+ 24.05,+ 24.05,+ 2.390,+ 1.126,LLLLLLLLLL,LLLLLLLLLL,LLLL
        66,2026/02/27 13:07:41,500,+ 29.15,+ 23.85,+ 23.90,+ 24.15,+ 24.10,+ 24.00,+ 2.389,+ 1.125,LLLLLLLLLL,LLLLLLLLLL,LLLL
        67,2026/02/27 13:07:41,600,+ 29.45,+ 23.80,+ 23.90,+ 24.15,+ 24.05,+ 24.05,+ 2.387,+ 1.125,LLLLLLLLLL,LLLLLLLLLL,LLLL
        68,2026/02/27 13:07:41,700,+ 29.70,+ 23.80,+ 23.95,+ 24.15,+ 24.10,+ 24.05,+ 2.385,+ 1.124,LLLLLLLLLL,LLLLLLLLLL,LLLL
        69,2026/02/27 13:07:41,800,+ 30.00,+ 23.85,+ 23.95,+ 24.15,+ 24.10,+ 24.05,+ 2.384,+ 1.123,LLLLLLLLLL,LLLLLLLLLL,LLLL
        70,2026/02/27 13:07:41,900,+ 30.30,+ 23.85,+ 23.95,+ 24.20,+ 24.15,+ 24.05,+ 2.382,+ 1.123,LLLLLLLLLL,LLLLLLLLLL,LLLL
        71,2026/02/27 13:07:42,  0,+ 30.55,+ 23.85,+ 23.95,+ 24.15,+ 24.05,+ 24.05,+ 2.380,+ 1.122,LLLLLLLLLL,LLLLLLLLLL,LLLL
        72,2026/02/27 13:07:42,100,+ 30.80,+ 23.85,+ 23.90,+ 24.20,+ 24.05,+ 24.05,+ 2.379,+ 1.121,LLLLLLLLLL,LLLLLLLLLL,LLLL
        73,2026/02/27 13:07:42,200,+ 31.00,+ 23.85,+ 23.90,+ 24.15,+ 24.05,+ 24.05,+ 2.377,+ 1.120,LLLLLLLLLL,LLLLLLLLLL,LLLL
        74,2026/02/27 13:07:42,300,+ 31.25,+ 23.85,+ 23.95,+ 24.20,+ 24.10,+ 24.05,+ 2.375,+ 1.119,LLLLLLLLLL,LLLLLLLLLL,LLLL
        75,2026/02/27 13:07:42,400,+ 31.45,+ 23.85,+ 23.95,+ 24.20,+ 24.05,+ 24.00,+ 2.374,+ 1.118,LLLLLLLLLL,LLLLLLLLLL,LLLL
        76,2026/02/27 13:07:42,500,+ 31.70,+ 23.90,+ 23.95,+ 24.20,+ 24.05,+ 24.05,+ 2.372,+ 1.117,LLLLLLLLLL,LLLLLLLLLL,LLLL
        77,2026/02/27 13:07:42,600,+ 31.95,+ 23.85,+ 23.90,+ 24.20,+ 24.00,+ 24.05,+ 2.371,+ 1.116,LLLLLLLLLL,LLLLLLLLLL,LLLL
        78,2026/02/27 13:07:42,700,+ 32.15,+ 23.95,+ 23.95,+ 24.30,+ 24.15,+ 24.10,+ 2.370,+ 1.115,LLLLLLLLLL,LLLLLLLLLL,LLLL
        79,2026/02/27 13:07:42,800,+ 32.35,+ 23.90,+ 23.90,+ 24.30,+ 24.10,+ 24.00,+ 2.368,+ 1.114,LLLLLLLLLL,LLLLLLLLLL,LLLL
        80,2026/02/27 13:07:42,900,+ 32.60,+ 23.90,+ 23.95,+ 24.30,+ 24.10,+ 24.00,+ 2.366,+ 1.113,LLLLLLLLLL,LLLLLLLLLL,LLLL
        81,2026/02/27 13:07:43,  0,+ 32.85,+ 23.95,+ 23.90,+ 24.35,+ 24.10,+ 24.05,+ 2.365,+ 1.112,LLLLLLLLLL,LLLLLLLLLL,LLLL
        82,2026/02/27 13:07:43,100,+ 32.95,+ 23.95,+ 23.85,+ 24.30,+ 24.05,+ 24.05,+ 2.363,+ 1.111,LLLLLLLLLL,LLLLLLLLLL,LLLL
        83,2026/02/27 13:07:43,200,+ 33.20,+ 23.95,+ 23.90,+ 24.35,+ 24.05,+ 24.05,+ 2.361,+ 1.111,LLLLLLLLLL,LLLLLLLLLL,LLLL
        84,2026/02/27 13:07:43,300,+ 33.40,+ 24.00,+ 23.95,+ 24.35,+ 24.15,+ 24.10,+ 2.360,+ 1.110,LLLLLLLLLL,LLLLLLLLLL,LLLL
        85,2026/02/27 13:07:43,400,+ 33.60,+ 24.05,+ 24.00,+ 24.40,+ 24.20,+ 24.10,+ 2.358,+ 1.109,LLLLLLLLLL,LLLLLLLLLL,LLLL
        86,2026/02/27 13:07:43,500,+ 33.80,+ 24.05,+ 24.00,+ 24.45,+ 24.15,+ 24.10,+ 2.357,+ 1.108,LLLLLLLLLL,LLLLLLLLLL,LLLL
        87,2026/02/27 13:07:43,600,+ 34.00,+ 24.00,+ 23.95,+ 24.45,+ 24.20,+ 24.10,+ 2.356,+ 1.107,LLLLLLLLLL,LLLLLLLLLL,LLLL
        88,2026/02/27 13:07:43,700,+ 34.15,+ 24.05,+ 23.95,+ 24.45,+ 24.10,+ 24.05,+ 2.354,+ 1.106,LLLLLLLLLL,LLLLLLLLLL,LLLL
        89,2026/02/27 13:07:43,800,+ 34.35,+ 24.05,+ 23.95,+ 24.45,+ 24.15,+ 24.10,+ 2.353,+ 1.105,LLLLLLLLLL,LLLLLLLLLL,LLLL
        90,2026/02/27 13:07:43,900,+ 34.50,+ 24.10,+ 23.95,+ 24.45,+ 24.15,+ 24.10,+ 2.351,+ 1.104,LLLLLLLLLL,LLLLLLLLLL,LLLL
        91,2026/02/27 13:07:44,  0,+ 34.65,+ 24.10,+ 23.95,+ 24.45,+ 24.15,+ 24.10,+ 2.350,+ 1.104,LLLLLLLLLL,LLLLLLLLLL,LLLL
        92,2026/02/27 13:07:44,100,+ 34.85,+ 24.10,+ 24.05,+ 24.50,+ 24.20,+ 24.05,+ 2.349,+ 1.103,LLLLLLLLLL,LLLLLLLLLL,LLLL
        93,2026/02/27 13:07:44,200,+ 35.00,+ 24.10,+ 24.00,+ 24.60,+ 24.20,+ 24.15,+ 2.348,+ 1.102,LLLLLLLLLL,LLLLLLLLLL,LLLL
        94,2026/02/27 13:07:44,300,+ 35.15,+ 24.10,+ 23.95,+ 24.60,+ 24.20,+ 24.10,+ 2.346,+ 1.101,LLLLLLLLLL,LLLLLLLLLL,LLLL
        95,2026/02/27 13:07:44,400,+ 35.35,+ 24.10,+ 24.00,+ 24.55,+ 24.25,+ 24.05,+ 2.345,+ 1.100,LLLLLLLLLL,LLLLLLLLLL,LLLL
