Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.31  "
MaxChannel,20
GSStartCH,20
WLStartCH,20
MaxLogicChannel,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,6079      
Trigger,0         
Start time,2026-02-27,13:07:35
End time,2026-02-27,13:17:43
Trigger time,2026-02-27,13:07:35
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"Z1","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],0,13,23,0
CH2,"Z2","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,5,6,0
CH3,"Z3","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],9,22,8,0
CH4,"IC6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],21,0,21,0
CH5,"L6","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],28,16,2,0
CH6,"T19","M",TEMP,TC_J,500degC,Off,+500.00,-50.00,[degC],5,23,30,0
CH10,"CH10","M",DC,5V,,Off,+2.500,-2.500,[V],19,27,0,0
CH11,"CH11","M",DC,1-5V,,Off,+5.000,+1.000,[V],28,5,6,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH10,CH11,Alarm1-10,Alarm11-20,AlarmOut
      1101,2026/02/27 13:09:25,  0,+ 51.80,+ 32.00,+ 30.10,+ 33.05,+ 31.10,+ 29.85,+ 2.087,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1102,2026/02/27 13:09:25,100,+ 51.85,+ 32.00,+ 30.10,+ 33.05,+ 31.10,+ 29.85,+ 2.086,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1103,2026/02/27 13:09:25,200,+ 51.80,+ 32.00,+ 30.10,+ 33.05,+ 31.10,+ 29.85,+ 2.086,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1104,2026/02/27 13:09:25,300,+ 51.85,+ 32.00,+ 30.10,+ 33.05,+ 31.10,+ 29.85,+ 2.085,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1105,2026/02/27 13:09:25,400,+ 51.85,+ 32.00,+ 30.15,+ 33.05,+ 31.10,+ 29.85,+ 2.085,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1106,2026/02/27 13:09:25,500,+ 51.85,+ 32.05,+ 30.15,+ 33.05,+ 31.10,+ 29.90,+ 2.085,+ 1.002,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1107,2026/02/27 13:09:25,600,+ 51.85,+ 32.00,+ 30.15,+ 33.05,+ 31.10,+ 29.85,+ 2.085,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1108,2026/02/27 13:09:25,700,+ 51.90,+ 32.00,+ 30.15,+ 33.05,+ 31.10,+ 29.95,+ 2.084,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1109,2026/02/27 13:09:25,800,+ 51.95,+ 32.05,+ 30.20,+ 33.10,+ 31.20,+ 30.00,+ 2.084,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1110,2026/02/27 13:09:25,900,+ 51.85,+ 32.05,+ 30.20,+ 33.15,+ 31.15,+ 29.95,+ 2.084,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1111,2026/02/27 13:09:26,  0,+ 51.90,+ 32.10,+ 30.20,+ 33.10,+ 31.20,+ 29.95,+ 2.084,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1112,2026/02/27 13:09:26,100,+ 51.90,+ 32.10,+ 30.20,+ 33.15,+ 31.20,+ 29.95,+ 2.084,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1113,2026/02/27 13:09:26,200,+ 51.90,+ 32.10,+ 30.20,+ 33.15,+ 31.20,+ 29.95,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1114,2026/02/27 13:09:26,300,+ 51.90,+ 32.00,+ 30.20,+ 33.15,+ 31.25,+ 29.95,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1115,2026/02/27 13:09:26,400,+ 51.90,+ 32.05,+ 30.20,+ 33.15,+ 31.25,+ 30.00,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1116,2026/02/27 13:09:26,500,+ 51.90,+ 32.10,+ 30.15,+ 33.10,+ 31.15,+ 30.00,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1117,2026/02/27 13:09:26,600,+ 51.90,+ 32.05,+ 30.15,+ 33.15,+ 31.15,+ 30.00,+ 2.082,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1118,2026/02/27 13:09:26,700,+ 51.95,+ 32.05,+ 30.15,+ 33.10,+ 31.15,+ 30.00,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1119,2026/02/27 13:09:26,800,+ 51.95,+ 32.10,+ 30.15,+ 33.15,+ 31.20,+ 30.05,+ 2.082,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1120,2026/02/27 13:09:26,900,+ 51.95,+ 32.15,+ 30.20,+ 33.20,+ 31.25,+ 30.00,+ 2.082,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1121,2026/02/27 13:09:27,  0,+ 51.95,+ 32.15,+ 30.25,+ 33.15,+ 31.25,+ 30.05,+ 2.083,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1122,2026/02/27 13:09:27,100,+ 51.95,+ 32.15,+ 30.25,+ 33.20,+ 31.25,+ 30.05,+ 2.082,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1123,2026/02/27 13:09:27,200,+ 51.95,+ 32.20,+ 30.25,+ 33.15,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1124,2026/02/27 13:09:27,300,+ 52.00,+ 32.20,+ 30.25,+ 33.20,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1125,2026/02/27 13:09:27,400,+ 52.00,+ 32.15,+ 30.25,+ 33.25,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1126,2026/02/27 13:09:27,500,+ 52.00,+ 32.20,+ 30.25,+ 33.20,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1127,2026/02/27 13:09:27,600,+ 52.00,+ 32.20,+ 30.25,+ 33.25,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1128,2026/02/27 13:09:27,700,+ 52.00,+ 32.20,+ 30.25,+ 33.25,+ 31.25,+ 30.05,+ 2.081,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1129,2026/02/27 13:09:27,800,+ 52.05,+ 32.20,+ 30.30,+ 33.25,+ 31.25,+ 30.05,+ 2.080,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1130,2026/02/27 13:09:27,900,+ 52.05,+ 32.20,+ 30.30,+ 33.25,+ 31.25,+ 30.05,+ 2.080,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1131,2026/02/27 13:09:28,  0,+ 52.05,+ 32.20,+ 30.30,+ 33.25,+ 31.25,+ 30.05,+ 2.080,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1132,2026/02/27 13:09:28,100,+ 52.10,+ 32.25,+ 30.30,+ 33.30,+ 31.30,+ 30.10,+ 2.080,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1133,2026/02/27 13:09:28,200,+ 52.10,+ 32.25,+ 30.35,+ 33.25,+ 31.25,+ 30.10,+ 2.080,+ 1.001,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1134,2026/02/27 13:09:28,300,+ 52.10,+ 32.20,+ 30.35,+ 33.30,+ 31.30,+ 30.10,+ 2.080,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1135,2026/02/27 13:09:28,400,+ 52.10,+ 32.25,+ 30.35,+ 33.25,+ 31.30,+ 30.10,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1136,2026/02/27 13:09:28,500,+ 52.05,+ 32.30,+ 30.30,+ 33.25,+ 31.30,+ 30.10,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1137,2026/02/27 13:09:28,600,+ 52.05,+ 32.25,+ 30.35,+ 33.30,+ 31.30,+ 30.10,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1138,2026/02/27 13:09:28,700,+ 52.05,+ 32.30,+ 30.35,+ 33.30,+ 31.35,+ 30.05,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1139,2026/02/27 13:09:28,800,+ 52.05,+ 32.25,+ 30.35,+ 33.35,+ 31.30,+ 30.10,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1140,2026/02/27 13:09:28,900,+ 52.10,+ 32.25,+ 30.35,+ 33.30,+ 31.30,+ 30.15,+ 2.078,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1141,2026/02/27 13:09:29,  0,+ 52.10,+ 32.25,+ 30.30,+ 33.30,+ 31.25,+ 30.10,+ 2.079,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1142,2026/02/27 13:09:29,100,+ 52.10,+ 32.25,+ 30.30,+ 33.25,+ 31.30,+ 30.10,+ 2.078,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1143,2026/02/27 13:09:29,200,+ 52.10,+ 32.25,+ 30.35,+ 33.25,+ 31.25,+ 30.10,+ 2.078,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1144,2026/02/27 13:09:29,300,+ 52.10,+ 32.25,+ 30.30,+ 33.30,+ 31.30,+ 30.10,+ 2.078,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1145,2026/02/27 13:09:29,400,+ 52.10,+ 32.30,+ 30.40,+ 33.25,+ 31.30,+ 30.10,+ 2.078,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1146,2026/02/27 13:09:29,500,+ 52.10,+ 32.30,+ 30.35,+ 33.35,+ 31.30,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1147,2026/02/27 13:09:29,600,+ 52.15,+ 32.30,+ 30.35,+ 33.30,+ 31.30,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1148,2026/02/27 13:09:29,700,+ 52.10,+ 32.30,+ 30.40,+ 33.30,+ 31.30,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1149,2026/02/27 13:09:29,800,+ 52.10,+ 32.30,+ 30.40,+ 33.30,+ 31.35,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1150,2026/02/27 13:09:29,900,+ 52.10,+ 32.30,+ 30.40,+ 33.30,+ 31.35,+ 30.10,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1151,2026/02/27 13:09:30,  0,+ 52.15,+ 32.30,+ 30.40,+ 33.35,+ 31.35,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1152,2026/02/27 13:09:30,100,+ 52.15,+ 32.30,+ 30.40,+ 33.35,+ 31.35,+ 30.20,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1153,2026/02/27 13:09:30,200,+ 52.15,+ 32.30,+ 30.40,+ 33.35,+ 31.35,+ 30.15,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1154,2026/02/27 13:09:30,300,+ 52.15,+ 32.30,+ 30.40,+ 33.35,+ 31.35,+ 30.15,+ 2.077,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1155,2026/02/27 13:09:30,400,+ 52.15,+ 32.30,+ 30.45,+ 33.35,+ 31.35,+ 30.20,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1156,2026/02/27 13:09:30,500,+ 52.20,+ 32.30,+ 30.40,+ 33.35,+ 31.35,+ 30.20,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1157,2026/02/27 13:09:30,600,+ 52.25,+ 32.35,+ 30.50,+ 33.35,+ 31.40,+ 30.25,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1158,2026/02/27 13:09:30,700,+ 52.25,+ 32.30,+ 30.45,+ 33.40,+ 31.35,+ 30.25,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1159,2026/02/27 13:09:30,800,+ 52.20,+ 32.35,+ 30.50,+ 33.40,+ 31.40,+ 30.25,+ 2.075,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1160,2026/02/27 13:09:30,900,+ 52.25,+ 32.35,+ 30.50,+ 33.35,+ 31.40,+ 30.25,+ 2.075,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1161,2026/02/27 13:09:31,  0,+ 52.25,+ 32.40,+ 30.50,+ 33.45,+ 31.40,+ 30.30,+ 2.076,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1162,2026/02/27 13:09:31,100,+ 52.25,+ 32.40,+ 30.50,+ 33.40,+ 31.40,+ 30.30,+ 2.075,+ 1.000,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1163,2026/02/27 13:09:31,200,+ 52.25,+ 32.40,+ 30.50,+ 33.40,+ 31.40,+ 30.30,+ 2.075,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1164,2026/02/27 13:09:31,300,+ 52.30,+ 32.40,+ 30.50,+ 33.45,+ 31.45,+ 30.30,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1165,2026/02/27 13:09:31,400,+ 52.25,+ 32.45,+ 30.50,+ 33.45,+ 31.40,+ 30.30,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1166,2026/02/27 13:09:31,500,+ 52.25,+ 32.40,+ 30.50,+ 33.45,+ 31.45,+ 30.30,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1167,2026/02/27 13:09:31,600,+ 52.30,+ 32.40,+ 30.50,+ 33.45,+ 31.45,+ 30.30,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1168,2026/02/27 13:09:31,700,+ 52.25,+ 32.45,+ 30.50,+ 33.50,+ 31.45,+ 30.25,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1169,2026/02/27 13:09:31,800,+ 52.25,+ 32.40,+ 30.50,+ 33.45,+ 31.50,+ 30.25,+ 2.074,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1170,2026/02/27 13:09:31,900,+ 52.35,+ 32.45,+ 30.50,+ 33.50,+ 31.45,+ 30.35,+ 2.073,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1171,2026/02/27 13:09:32,  0,+ 52.30,+ 32.45,+ 30.55,+ 33.50,+ 31.45,+ 30.35,+ 2.073,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1172,2026/02/27 13:09:32,100,+ 52.30,+ 32.50,+ 30.55,+ 33.45,+ 31.50,+ 30.30,+ 2.073,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1173,2026/02/27 13:09:32,200,+ 52.25,+ 32.45,+ 30.50,+ 33.45,+ 31.40,+ 30.25,+ 2.073,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1174,2026/02/27 13:09:32,300,+ 52.30,+ 32.45,+ 30.50,+ 33.40,+ 31.45,+ 30.35,+ 2.073,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1175,2026/02/27 13:09:32,400,+ 52.30,+ 32.40,+ 30.50,+ 33.45,+ 31.50,+ 30.30,+ 2.072,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1176,2026/02/27 13:09:32,500,+ 52.25,+ 32.45,+ 30.50,+ 33.40,+ 31.50,+ 30.30,+ 2.072,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1177,2026/02/27 13:09:32,600,+ 52.30,+ 32.45,+ 30.55,+ 33.50,+ 31.50,+ 30.30,+ 2.072,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1178,2026/02/27 13:09:32,700,+ 52.35,+ 32.45,+ 30.50,+ 33.50,+ 31.45,+ 30.35,+ 2.072,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1179,2026/02/27 13:09:32,800,+ 52.35,+ 32.45,+ 30.50,+ 33.50,+ 31.45,+ 30.35,+ 2.072,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1180,2026/02/27 13:09:32,900,+ 52.35,+ 32.50,+ 30.55,+ 33.45,+ 31.50,+ 30.35,+ 2.072,+ 0.999,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1181,2026/02/27 13:09:33,  0,+ 52.35,+ 32.45,+ 30.55,+ 33.45,+ 31.50,+ 30.35,+ 2.072,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1182,2026/02/27 13:09:33,100,+ 52.35,+ 32.50,+ 30.55,+ 33.50,+ 31.50,+ 30.40,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1183,2026/02/27 13:09:33,200,+ 52.35,+ 32.50,+ 30.55,+ 33.50,+ 31.50,+ 30.30,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1184,2026/02/27 13:09:33,300,+ 52.35,+ 32.50,+ 30.60,+ 33.45,+ 31.50,+ 30.35,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1185,2026/02/27 13:09:33,400,+ 52.35,+ 32.50,+ 30.60,+ 33.50,+ 31.50,+ 30.35,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1186,2026/02/27 13:09:33,500,+ 52.40,+ 32.50,+ 30.60,+ 33.50,+ 31.55,+ 30.40,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1187,2026/02/27 13:09:33,600,+ 52.40,+ 32.50,+ 30.60,+ 33.55,+ 31.50,+ 30.40,+ 2.070,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1188,2026/02/27 13:09:33,700,+ 52.40,+ 32.50,+ 30.60,+ 33.55,+ 31.50,+ 30.40,+ 2.071,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1189,2026/02/27 13:09:33,800,+ 52.40,+ 32.60,+ 30.65,+ 33.55,+ 31.60,+ 30.40,+ 2.070,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1190,2026/02/27 13:09:33,900,+ 52.35,+ 32.60,+ 30.65,+ 33.60,+ 31.60,+ 30.35,+ 2.070,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1191,2026/02/27 13:09:34,  0,+ 52.35,+ 32.60,+ 30.65,+ 33.60,+ 31.60,+ 30.35,+ 2.070,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1192,2026/02/27 13:09:34,100,+ 52.45,+ 32.60,+ 30.70,+ 33.60,+ 31.65,+ 30.40,+ 2.070,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1193,2026/02/27 13:09:34,200,+ 52.40,+ 32.60,+ 30.70,+ 33.60,+ 31.65,+ 30.45,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1194,2026/02/27 13:09:34,300,+ 52.45,+ 32.60,+ 30.70,+ 33.60,+ 31.60,+ 30.45,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1195,2026/02/27 13:09:34,400,+ 52.45,+ 32.60,+ 30.70,+ 33.60,+ 31.60,+ 30.45,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1196,2026/02/27 13:09:34,500,+ 52.45,+ 32.60,+ 30.75,+ 33.65,+ 31.65,+ 30.40,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1197,2026/02/27 13:09:34,600,+ 52.45,+ 32.60,+ 30.70,+ 33.65,+ 31.65,+ 30.45,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1198,2026/02/27 13:09:34,700,+ 52.40,+ 32.60,+ 30.70,+ 33.65,+ 31.60,+ 30.45,+ 2.069,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1199,2026/02/27 13:09:34,800,+ 52.45,+ 32.60,+ 30.75,+ 33.60,+ 31.65,+ 30.45,+ 2.068,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1200,2026/02/27 13:09:34,900,+ 52.50,+ 32.60,+ 30.75,+ 33.65,+ 31.65,+ 30.45,+ 2.068,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1201,2026/02/27 13:09:35,  0,+ 52.50,+ 32.60,+ 30.70,+ 33.65,+ 31.65,+ 30.50,+ 2.068,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1202,2026/02/27 13:09:35,100,+ 52.50,+ 32.60,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.068,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1203,2026/02/27 13:09:35,200,+ 52.55,+ 32.65,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.068,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1204,2026/02/27 13:09:35,300,+ 52.50,+ 32.65,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.068,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1205,2026/02/27 13:09:35,400,+ 52.50,+ 32.65,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.067,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1206,2026/02/27 13:09:35,500,+ 52.50,+ 32.65,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.067,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1207,2026/02/27 13:09:35,600,+ 52.50,+ 32.65,+ 30.75,+ 33.65,+ 31.65,+ 30.50,+ 2.067,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1208,2026/02/27 13:09:35,700,+ 52.55,+ 32.65,+ 30.80,+ 33.65,+ 31.65,+ 30.50,+ 2.067,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1209,2026/02/27 13:09:35,800,+ 52.50,+ 32.65,+ 30.80,+ 33.65,+ 31.65,+ 30.50,+ 2.067,+ 0.998,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1210,2026/02/27 13:09:35,900,+ 52.55,+ 32.65,+ 30.80,+ 33.65,+ 31.70,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1211,2026/02/27 13:09:36,  0,+ 52.55,+ 32.70,+ 30.80,+ 33.65,+ 31.70,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1212,2026/02/27 13:09:36,100,+ 52.55,+ 32.70,+ 30.80,+ 33.65,+ 31.65,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1213,2026/02/27 13:09:36,200,+ 52.55,+ 32.70,+ 30.80,+ 33.65,+ 31.70,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1214,2026/02/27 13:09:36,300,+ 52.55,+ 32.70,+ 30.80,+ 33.70,+ 31.70,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1215,2026/02/27 13:09:36,400,+ 52.55,+ 32.70,+ 30.80,+ 33.70,+ 31.70,+ 30.55,+ 2.066,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1216,2026/02/27 13:09:36,500,+ 52.60,+ 32.70,+ 30.80,+ 33.70,+ 31.70,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1217,2026/02/27 13:09:36,600,+ 52.60,+ 32.75,+ 30.80,+ 33.70,+ 31.75,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1218,2026/02/27 13:09:36,700,+ 52.60,+ 32.75,+ 30.80,+ 33.70,+ 31.70,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1219,2026/02/27 13:09:36,800,+ 52.60,+ 32.75,+ 30.80,+ 33.70,+ 31.75,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1220,2026/02/27 13:09:36,900,+ 52.60,+ 32.75,+ 30.80,+ 33.70,+ 31.70,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1221,2026/02/27 13:09:37,  0,+ 52.60,+ 32.75,+ 30.80,+ 33.75,+ 31.75,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1222,2026/02/27 13:09:37,100,+ 52.60,+ 32.70,+ 30.85,+ 33.75,+ 31.75,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1223,2026/02/27 13:09:37,200,+ 52.60,+ 32.75,+ 30.85,+ 33.75,+ 31.75,+ 30.60,+ 2.065,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1224,2026/02/27 13:09:37,300,+ 52.60,+ 32.75,+ 30.85,+ 33.75,+ 31.75,+ 30.60,+ 2.064,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1225,2026/02/27 13:09:37,400,+ 52.60,+ 32.75,+ 30.85,+ 33.80,+ 31.80,+ 30.60,+ 2.064,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1226,2026/02/27 13:09:37,500,+ 52.60,+ 32.75,+ 30.85,+ 33.80,+ 31.80,+ 30.55,+ 2.064,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1227,2026/02/27 13:09:37,600,+ 52.60,+ 32.80,+ 30.85,+ 33.75,+ 31.75,+ 30.60,+ 2.064,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1228,2026/02/27 13:09:37,700,+ 52.65,+ 32.80,+ 30.90,+ 33.80,+ 31.75,+ 30.70,+ 2.064,+ 0.997,LLLLLLLLLL,LLLLLLLLLL,LLLL
      1229,2026/02/27 13:09:37,800,+ 52.65,+ 32.80,+ 30.90,+ 33.75,+ 31.75,+ 30.65,+ 2.063,+ 0.996,LLLLLLLLLL,LLLLLLLLLL,LLLL
